id,title,price,currency,location,date,url,image
63057173,"Уч тепа район Г9А орентир: Гурман бургер 3/1/4 Кирпич, ЕВРО ремонт",1073575800,UZS,"Ташкент, Учтепинский район",Сегодня в 09:40,https://www.olx.uz/d/obyavlenie/uch-tepa-rayon-g9a-orentir-gurman-burger-3-1-4-kirpich-evro-remont-ID4gA3b.html,/app/static/media/no_thumbnail.15f456ec5.svg
63688361,Срочно продаётся квартира ЖК NRJ JOMIY Безнес класс дом,1152426000,UZS,"Ташкент, Алмазарский район",Сегодня в 09:40,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-kvartira-zhk-nrj-jomiy-beznes-klass-dom-ID4jefD.html,/app/static/media/no_thumbnail.15f456ec5.svg
42121809,Hotel hostel Мехмонхона mehmonxona хостел гостиница Yunusobod Toshkent,125000,UZS,"Ташкент, Юнусабадский район",Сегодня в 09:39,https://www.olx.uz/d/obyavlenie/hotel-hostel-mehmonhona-mehmonxona-hostel-gostinitsa-yunusobod-toshkent-ID2QJO1.html,/app/static/media/no_thumbnail.15f456ec5.svg
63685437,Олмазор Сити 5/19 Новостройка Евроремонт кв-м 127,2244198000,UZS,"Ташкент, Алмазарский район",Сегодня в 09:39,https://www.olx.uz/d/obyavlenie/olmazor-siti-5-19-novostroyka-evroremont-kv-m-127-ID4jdut.html,/app/static/media/no_thumbnail.15f456ec5.svg
63680040,Yunusobotda sal kam 3 so'tix 2 etaj 7 xona 2 ta uy 2 ta darvozaxona s.,2256328800,UZS,"Ташкент, Юнусабадский район",Сегодня в 09:39,https://www.olx.uz/d/obyavlenie/yunusobotda-sal-kam-3-sotix-2-etaj-7-xona-2-ta-uy-2-ta-darvozaxona-s-ID4jc5q.html,/app/static/media/no_thumbnail.15f456ec5.svg
63785210,"АРЕНДА 21 Сотка Ахангарон ,газ свет сув бор",14556960,UZS,Ахангаран,Сегодня в 07:07,https://www.olx.uz/d/obyavlenie/arenda-21-sotka-ahangaron-gaz-svet-suv-bor-ID4jDrI.html,/app/static/media/no_thumbnail.15f456ec5.svg
62335489,"Kunlik kvartira,mexmonxona,hotel,кунлик квартира без маклер,мехмонхона",120000,UZS,"Ташкент, Яккасарайский район",05 марта 2026 г.,https://www.olx.uz/d/obyavlenie/kunlik-kvartira-mexmonxona-hotel-kunlik-kvartira-bez-makler-mehmonhona-ID4dyj7.html,/app/static/media/no_thumbnail.15f456ec5.svg
59185099,СРОЧНО! Продаётся частный дом город Гулистан!,1031118000,UZS,Гулистан,06 марта 2026 г.,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-chastnyy-dom-gorod-gulistan-ID40kKn.html,/app/static/media/no_thumbnail.15f456ec5.svg
63688352,Сергели ЯнгиЧоштепа 3хонали новостройка квартира сотувга чикди,891613800,UZS,"Ташкент, Сергелийский район",Сегодня в 09:39,https://www.olx.uz/d/obyavlenie/sergeli-yangichoshtepa-3honali-novostroyka-kvartira-sotuvga-chikdi-ID4jefu.html,/app/static/media/no_thumbnail.15f456ec5.svg
62970696,Юнусабад 11 4/3/10 Евро Обст ЖК Комфорт Хаус,1516350000,UZS,"Ташкент, Юнусабадский район",Сегодня в 09:39,https://www.olx.uz/d/obyavlenie/yunusabad-11-4-3-10-evro-obst-zhk-komfort-haus-ID4gdyo.html,/app/static/media/no_thumbnail.15f456ec5.svg
63363603,ПРОДАЕТСЯ 2-х комнатная квартира,363924000,UZS,Ангрен,Сегодня в 09:39,https://www.olx.uz/d/obyavlenie/prodaetsya-2-h-komnatnaya-kvartira-ID4hRLB.html,/app/static/media/no_thumbnail.15f456ec5.svg
